dim,FI,IDR,SS,TI,NS
1,-2.304409375,-2.310690421,-2.312261351,-2.312264436,-2.2489848601716
1,-2.306759146,-2.308677379,-2.310822908,-2.310809549,-2.2753912744476
1,-2.308093406,-2.304346519,-2.303267901,-2.30325404,-2.33090202216616
1,-2.308873339,-2.305237294,-2.302747727,-2.302715406,-2.33383140572857
1,-2.307313237,-2.309093232,-2.312489018,-2.312470821,-2.31237473974207
1,-2.307647263,-2.306441281,-2.302977895,-2.30297871,-2.27560097357539
1,-2.308491129,-2.310298985,-2.310480163,-2.310464752,-2.3427233053677
1,-2.307929054,-2.307280513,-2.30537034,-2.305398535,-2.32251154409565
1,-2.3066796,-2.308137237,-2.309153843,-2.309154467,-2.31026973182282
1,-2.309419827,-2.307051345,-2.307021178,-2.307003806,-2.28995524803459
1,-2.30553361,-2.307436003,-2.3076485,-2.307642212,-2.33308940955238
1,-2.307876407,-2.305901411,-2.303972642,-2.303970888,-2.23485478295371
1,-2.308432188,-2.308609685,-2.31087319,-2.310873171,-2.35007391308514
1,-2.3097506,-2.307990233,-2.309252152,-2.309252141,-2.31754055501057
1,-2.308356748,-2.308721702,-2.308139051,-2.308134982,-2.31838515042682
1,-2.306144794,-2.3090001,-2.311410637,-2.311418664,-2.26087650638214
1,-2.308343305,-2.304885339,-2.303673023,-2.303667192,-2.25566050979356
1,-2.309119615,-2.306648782,-2.307802228,-2.307813328,-2.32065795117191
1,-2.309883141,-2.307708577,-2.307343485,-2.307313832,-2.31010264591526
20,-46.2534155,-46.149518,-46.14184949,-46.14168541,-46.3287115454522
20,-47.14802315,-46.15129535,-46.15600846,-46.15586612,-46.6885754758862
20,-45.88208337,-46.14896314,-46.138618,-46.13852392,-44.313088936965
20,-46.48387584,-46.15054934,-46.13252409,-46.13240534,-46.1300686815056
20,-47.60470573,-46.15040838,-46.14248111,-46.14232604,-46.1991130487508
20,-46.59833954,-46.15205807,-46.14779137,-46.14768794,-46.2531347066568
20,-46.43681176,-46.14898123,-46.15076413,-46.15056009,-46.9816305035542
20,-47.23044985,-46.15377517,-46.13875519,-46.13867415,-47.0871964602996
20,-45.84219207,-46.15089745,-46.16829477,-46.16817566,-47.1502161927112
20,-45.95169441,-46.14878515,-46.16816953,-46.16810395,-46.1183194102417
20,-46.26109438,-46.15084214,-46.13442888,-46.13429583,-45.5252047275736
20,-46.9897588,-46.1538731,-46.13189606,-46.13178608,-46.0400439650805
20,-45.30886678,-46.15309836,-46.14951333,-46.14942354,-46.8156308612475
20,-45.20602379,-46.15341695,-46.13739658,-46.13719531,-46.592384502464
20,-46.7087107,-46.15236087,-46.17323904,-46.1730459,-45.301012424085
20,-46.22180198,-46.15025718,-46.15544177,-46.15529938,-47.0128080692051
20,-47.26919646,-46.15332784,-46.17882855,-46.1787625,-45.5489637717075
20,-44.34875808,-46.15302449,-46.16223888,-46.16201482,-46.7629769175364
20,-44.86578431,-46.14824719,-46.16281575,-46.16276722,-46.5383027091774
20,-43.97598578,-46.14950527,-46.15639117,-46.15616626,-46.5879920142059
20,-44.48094166,-46.15229193,-46.15721337,-46.15704534,-46.045810397476
20,-46.26475492,-46.1520474,-46.13215964,-46.13204891,-45.8072151375055
20,-46.67473548,-46.15207798,-46.15890459,-46.1588057,-46.6603409620421
20,-44.64027195,-46.15190347,-46.16368089,-46.16360944,-46.8838445582417
20,-45.53694831,-46.15151513,-46.15725908,-46.15715391,-47.3584246377498
20,-46.59905142,-46.1490923,-46.15907407,-46.15898332,-46.841648010976
20,-45.27651372,-46.15041646,-46.14936105,-46.14926819,-46.2818286730411
20,-47.06081861,-46.15137713,-46.12363261,-46.12353728,-45.9480072950305
20,-46.31427879,-46.14870689,-46.14048294,-46.1403653,-46.4514316549473
20,-47.1339742,-46.15256368,-46.14524312,-46.14509,-45.3916040566381
20,-46.63985145,-46.15439565,-46.16859031,-46.16835422,-46.2619767223145
20,-47.29037878,-46.15111381,-46.17003902,-46.16982981,-45.6926388307123
20,-46.13433427,-46.14925431,-46.15683532,-46.1567265,-46.2880724019012
20,-44.43984753,-46.15401893,-46.18041473,-46.18030612,-46.638987062473
20,-46.91177963,-46.15099738,-46.16485327,-46.16487617,-46.2309262102312
20,-45.91626216,-46.15141264,-46.15161336,-46.15153984,-46.2676564978409
20,-47.42934315,-46.15269491,-46.14383548,-46.14369744,-46.9750440467606
20,-44.51717087,-46.15435181,-46.18512433,-46.18497633,-45.8433594186586
20,-47.25295726,-46.15192187,-46.14878379,-46.14872259,-46.8052255648918
20,-45.60220468,-46.15249425,-46.13871689,-46.13861886,-45.7007396756438
