# dim ns_lnz ns_lnz_err
001 -2.28854e+00 5.54163e-02
001 -2.25735e+00 5.52942e-02
001 -2.26613e+00 5.52285e-02
001 -2.24620e+00 5.50556e-02
001 -2.28835e+00 5.54680e-02
001 -2.29506e+00 5.55809e-02
001 -2.35847e+00 5.62723e-02
001 -2.29417e+00 5.55548e-02
001 -2.29818e+00 5.55605e-02
001 -2.38251e+00 5.67109e-02
001 -2.27836e+00 5.52716e-02
001 -2.32288e+00 5.60245e-02
001 -2.32016e+00 5.59745e-02
001 -2.31665e+00 5.58585e-02
001 -2.28013e+00 5.52563e-02
001 -2.33227e+00 5.59897e-02
001 -2.27421e+00 5.53125e-02
001 -2.29723e+00 5.55592e-02
001 -2.30440e+00 5.56218e-02
001 -2.32575e+00 5.60027e-02
001 -2.29504e+00 5.56542e-02
001 -2.38484e+00 5.66035e-02
001 -2.29891e+00 5.55820e-02
001 -2.32539e+00 5.61538e-02
001 -2.35850e+00 5.64162e-02
001 -2.24685e+00 5.49714e-02
001 -2.24048e+00 5.48843e-02
001 -2.28026e+00 5.53771e-02
001 -2.28680e+00 5.55085e-02
001 -2.26675e+00 5.51995e-02
001 -2.32428e+00 5.58076e-02
001 -2.26511e+00 5.50907e-02
001 -2.36297e+00 5.64926e-02
001 -2.22531e+00 5.46630e-02
001 -2.35514e+00 5.63121e-02
001 -2.30126e+00 5.56359e-02
001 -2.27937e+00 5.53192e-02
001 -2.26568e+00 5.52276e-02
001 -2.34995e+00 5.62229e-02
001 -2.39140e+00 5.67880e-02
001 -2.26907e+00 5.51367e-02
001 -2.28186e+00 5.54247e-02
001 -2.31659e+00 5.58568e-02
001 -2.35359e+00 5.63042e-02
001 -2.27487e+00 5.52267e-02
001 -2.21881e+00 5.45671e-02
001 -2.27265e+00 5.51164e-02
001 -2.33550e+00 5.59561e-02
001 -2.33182e+00 5.61871e-02
001 -2.36123e+00 5.65846e-02
001 -2.34363e+00 5.60871e-02
001 -2.34939e+00 5.63150e-02
001 -2.25138e+00 5.49697e-02
001 -2.32163e+00 5.59139e-02
001 -2.36319e+00 5.64768e-02
001 -2.32996e+00 5.60375e-02
001 -2.31650e+00 5.57889e-02
001 -2.24629e+00 5.49741e-02
001 -2.29176e+00 5.55589e-02
001 -2.32567e+00 5.61023e-02
001 -2.39366e+00 5.69648e-02
001 -2.31337e+00 5.59539e-02
001 -2.29290e+00 5.56227e-02
001 -2.27795e+00 5.53558e-02
001 -2.28239e+00 5.54059e-02
001 -2.27639e+00 5.52957e-02
001 -2.34045e+00 5.63364e-02
001 -2.37710e+00 5.67332e-02
001 -2.33365e+00 5.62134e-02
001 -2.25924e+00 5.51946e-02
001 -2.28756e+00 5.53970e-02
001 -2.17914e+00 5.41064e-02
001 -2.26504e+00 5.52608e-02
001 -2.30283e+00 5.55278e-02
001 -2.32929e+00 5.61006e-02
001 -2.36804e+00 5.64612e-02
001 -2.31518e+00 5.57911e-02
001 -2.31854e+00 5.58952e-02
001 -2.28695e+00 5.56550e-02
001 -2.34381e+00 5.61701e-02
001 -2.34287e+00 5.62581e-02
001 -2.34326e+00 5.62721e-02
001 -2.29648e+00 5.56094e-02
001 -2.34282e+00 5.62038e-02
001 -2.33994e+00 5.62378e-02
001 -2.29281e+00 5.56945e-02
001 -2.33666e+00 5.59916e-02
001 -2.34587e+00 5.61751e-02
001 -2.35905e+00 5.63313e-02
001 -2.33724e+00 5.60685e-02
001 -2.29681e+00 5.54699e-02
001 -2.28986e+00 5.55926e-02
001 -2.28484e+00 5.54868e-02
001 -2.29444e+00 5.55419e-02
001 -2.32492e+00 5.61310e-02
001 -2.30825e+00 5.57836e-02
001 -2.35402e+00 5.63411e-02
001 -2.36008e+00 5.64563e-02
001 -2.21935e+00 5.47411e-02
001 -2.28475e+00 5.54549e-02
001 -2.30482e+00 5.58495e-02
001 -2.19304e+00 5.42449e-02
001 -2.33722e+00 5.60614e-02
001 -2.34883e+00 5.62366e-02
001 -2.37262e+00 5.65753e-02
001 -2.32746e+00 5.58933e-02
001 -2.27290e+00 5.52027e-02
001 -2.27644e+00 5.52862e-02
001 -2.27141e+00 5.51536e-02
001 -2.35197e+00 5.63487e-02
001 -2.25090e+00 5.50738e-02
001 -2.33595e+00 5.61627e-02
001 -2.37124e+00 5.66362e-02
001 -2.25425e+00 5.50578e-02
001 -2.34260e+00 5.59840e-02
001 -2.35020e+00 5.61755e-02
001 -2.28680e+00 5.55443e-02
001 -2.23690e+00 5.46546e-02
001 -2.36028e+00 5.63116e-02
001 -2.34280e+00 5.61033e-02
001 -2.32186e+00 5.60013e-02
001 -2.25434e+00 5.49764e-02
001 -2.32326e+00 5.58649e-02
001 -2.29431e+00 5.55133e-02
001 -2.29757e+00 5.55071e-02
001 -2.35639e+00 5.65855e-02
001 -2.25882e+00 5.50567e-02
001 -2.33880e+00 5.61956e-02
001 -2.36233e+00 5.62499e-02
001 -2.32234e+00 5.59351e-02
001 -2.27797e+00 5.53468e-02
001 -2.32932e+00 5.61592e-02
001 -2.35701e+00 5.63414e-02
001 -2.34811e+00 5.62566e-02
001 -2.31961e+00 5.57757e-02
001 -2.30794e+00 5.57154e-02
001 -2.39518e+00 5.69423e-02
001 -2.35563e+00 5.64005e-02
001 -2.32531e+00 5.59657e-02
001 -2.28714e+00 5.54966e-02
001 -2.31875e+00 5.58502e-02
001 -2.28826e+00 5.53139e-02
001 -2.35963e+00 5.66479e-02
001 -2.30150e+00 5.57998e-02
001 -2.24642e+00 5.48261e-02
001 -2.21720e+00 5.45707e-02
001 -2.24400e+00 5.49278e-02
001 -2.21790e+00 5.44719e-02
001 -2.33415e+00 5.59811e-02
001 -2.37419e+00 5.66937e-02
001 -2.28599e+00 5.53916e-02
001 -2.30873e+00 5.57529e-02
001 -2.35266e+00 5.63059e-02
001 -2.31840e+00 5.58618e-02
001 -2.32548e+00 5.58006e-02
001 -2.26130e+00 5.48300e-02
001 -2.26335e+00 5.51097e-02
001 -2.42000e+00 5.73073e-02
001 -2.32600e+00 5.60010e-02
001 -2.25841e+00 5.52112e-02
001 -2.33232e+00 5.61131e-02
001 -2.29848e+00 5.56455e-02
001 -2.31188e+00 5.56577e-02
001 -2.22595e+00 5.48591e-02
001 -2.33188e+00 5.58081e-02
001 -2.34024e+00 5.62108e-02
001 -2.29144e+00 5.54058e-02
001 -2.37018e+00 5.65422e-02
001 -2.28793e+00 5.57000e-02
001 -2.21774e+00 5.46040e-02
001 -2.37584e+00 5.63969e-02
001 -2.39700e+00 5.68976e-02
001 -2.24472e+00 5.47753e-02
001 -2.28814e+00 5.55817e-02
001 -2.27675e+00 5.51395e-02
001 -2.28227e+00 5.53719e-02
001 -2.30602e+00 5.57354e-02
001 -2.38559e+00 5.66013e-02
001 -2.34395e+00 5.63081e-02
001 -2.31251e+00 5.58769e-02
001 -2.36730e+00 5.64139e-02
001 -2.23488e+00 5.49054e-02
001 -2.29514e+00 5.56765e-02
001 -2.30803e+00 5.57595e-02
001 -2.27649e+00 5.52834e-02
001 -2.27727e+00 5.52100e-02
001 -2.22945e+00 5.47449e-02
001 -2.34975e+00 5.63588e-02
001 -2.22998e+00 5.46746e-02
001 -2.37529e+00 5.65751e-02
001 -2.31662e+00 5.58269e-02
001 -2.26567e+00 5.54678e-02
001 -2.28692e+00 5.54138e-02
001 -2.24799e+00 5.50180e-02
001 -2.33648e+00 5.60301e-02
001 -2.25846e+00 5.51396e-02
001 -2.26107e+00 5.50694e-02
001 -2.29795e+00 5.56965e-02
001 -2.28611e+00 5.54470e-02
001 -2.35672e+00 5.63713e-02
001 -2.35416e+00 5.62337e-02
001 -2.30586e+00 5.58465e-02
001 -2.27181e+00 5.53062e-02
001 -2.37220e+00 5.66608e-02
001 -2.30785e+00 5.57318e-02
001 -2.29262e+00 5.55642e-02
001 -2.34926e+00 5.63135e-02
001 -2.31274e+00 5.57543e-02
001 -2.31920e+00 5.57972e-02
001 -2.32172e+00 5.60480e-02
001 -2.30178e+00 5.57525e-02
001 -2.31606e+00 5.57878e-02
001 -2.29812e+00 5.55394e-02
